[2025-06-10 18:11:53,042.042] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://gh-proxy.com:443 "GET /https://github.com/NapNeko/NapCatQQ/releases/download/v4.7.77/NapCat.Shell.zip HTTP/1.1" 200 20208705
[2025-06-10 18:12:00,345.345] INFO     [MainThread|MainProcess] Logger (file_io.py:unzip_file:22) | 解压 napcat.zip 成功
[2025-06-10 18:12:00,357.357] WARNING  [MainThread|MainProcess] adapter.nc.start (start.py:read_webui_config:223) | 无法读取 WebUI 配置, 将使用默认配置
[2025-06-10 18:12:00,357.357] INFO     [MainThread|MainProcess] adapter.nc.start (start.py:get_launcher_name:99) | 当前操作系统为: Windows 11
[2025-06-10 18:12:00,357.357] INFO     [MainThread|MainProcess] adapter.nc.start (start.py:start_napcat_windows:112) | 正在启动QQ, 启动器路径: D:\学习资料\大二下\计算机安全\小组作业\精简\napcat\launcher.bat
[2025-06-10 18:12:00,367.367] INFO     [MainThread|MainProcess] adapter.nc.login (login.py:login:248) | 即将弹出权限请求, 请允许
[2025-06-10 18:12:00,387.387] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-10 18:12:04,506.506] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-10 18:12:08,631.631] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-10 18:12:12,749.749] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-10 18:12:16,837.837] ERROR    [MainThread|MainProcess] adapter.nc.login (login.py:__init__:97) | 授权操作超时
[2025-06-10 18:12:16,837.837] INFO     [MainThread|MainProcess] adapter.nc.login (login.py:__init__:98) | 请检查 Windows 安全中心, 查看是否有拦截了 NapCat 启动程序的日志
